Feature,Importance
Year,0.004129293232732841
Accepted_Penalty_Count,0.005861791114721663
Penalty_Yards,0.005082774003685553
Team_Penalty_Count,0.005165388528083562
Team_Penalty_Yards,0.005040716410707955
points,0.007348956738948295
points_opp,0.006099803664922711
points_diff,0.831122227143605
g,0.0003016276917800261
total_yards,0.003639051513707017
plays_offense,0.007895497771076483
yds_per_play_offense,0.0023648011176933253
turnovers,0.005322341542584983
fumbles_lost,0.004100265755920224
first_down,0.0036010147282265485
pass_cmp,0.004961286786213736
pass_att,0.004456628097116821
pass_yds,0.004020497710243042
pass_td,0.0036019270620144227
pass_int,0.004354007063531856
pass_net_yds_per_att,0.0024826131941777184
pass_fd,0.004088074492704311
rush_att,0.0077575342097940545
rush_yds,0.005505700103324616
rush_td,0.0058940184727636815
rush_yds_per_att,0.0031598893033059254
rush_fd,0.005885155051907611
score_pct,0.006771788070453071
turnover_pct,0.008019553580140882
exp_pts_tot,0.003676192533040687
Superbowl Champion,0.00034790334428496023
Pass_yds_per_att,0.005074611929490515
Rush_yds_per_att,0.006249827554700297
total_tds,0.004588930573878713
total_fds,0.0031942326906837667
Team_Atlanta Falcons,0.00012580495322821685
Team_Baltimore Ravens,8.197878639214438e-05
Team_Buffalo Bills,4.540641258671416e-05
Team_Carolina Panthers,0.000558694941482498
Team_Chicago Bears,6.209392522871357e-05
Team_Cincinnati Bengals,0.00023868907951783843
Team_Cleveland Browns,0.000515293209897551
Team_Dallas Cowboys,0.00011897159464626471
Team_Denver Broncos,0.0002771262929926693
Team_Detroit Lions,0.00040715182946101384
Team_Green Bay Packers,0.0003743191522783297
Team_Houston Texans,0.0001647842036666539
Team_Indianapolis Colts,0.0018122648553961045
Team_Jacksonville Jaguars,0.00020388915655826002
Team_Kansas City Chiefs,8.287701272038583e-05
Team_Las Vegas Raiders,8.066188801094468e-05
Team_Los Angeles Chargers,0.0006969318378253377
Team_Los Angeles Rams,4.4449663994895336e-05
Team_Miami Dolphins,0.0003543122278197934
Team_Minnesota Vikings,0.00031936608415413344
Team_New England Patriots,0.00011135106188337299
Team_New Orleans Saints,0.00016278407874657135
Team_New York Giants,0.00015372435134202245
Team_New York Jets,0.00011425187781748884
Team_Philadelphia Eagles,0.00010607955043926497
Team_Pittsburgh Steelers,0.0006986018743666888
Team_San Francisco 49ers,0.00020128140239128946
Team_Seattle Seahawks,0.00018780681078619735
Team_Tampa Bay Buccaneers,0.0002915953182407485
Team_Tennessee Titans,0.0001376568320940322
Team_Washington Commanders,0.00010387695186706272
