Team,Year,Accepted_Penalty_Count,Penalty_Yards,Team_Penalty_Count,Team_Penalty_Yards
Detroit Lions,2015,200,1715,104,930
Detroit Lions,2016,222,1840,100,861
Detroit Lions,2017,215,1939,104,968
Detroit Lions,2018,188,1738,94,852
Detroit Lions,2019,230,1898,113,937
Detroit Lions,2020,198,1667,95,860
Detroit Lions,2021,190,1627,103,809
Detroit Lions,2022,184,1481,85,698
Green Bay Packers,2009,225,1971,118,1057
Green Bay Packers,2010,176,1375,78,617
Green Bay Packers,2011,198,1537,76,589
Green Bay Packers,2012,225,1978,102,923
Green Bay Packers,2013,185,1684,86,801
Green Bay Packers,2014,196,1721,92,776
Green Bay Packers,2015,225,2013,105,906
Green Bay Packers,2016,209,1791,100,827
Green Bay Packers,2017,190,1621,96,789
Green Bay Packers,2018,205,1729,108,937
Green Bay Packers,2019,197,1742,100,774
Green Bay Packers,2020,163,1418,84,684
Green Bay Packers,2021,155,1381,69,678
Green Bay Packers,2022,180,1554,85,712
Houston Texans,2009,187,1561,95,833
Houston Texans,2010,195,1541,90,690
Houston Texans,2011,187,1538,99,852
Houston Texans,2012,198,1735,108,872
Houston Texans,2013,214,1947,112,1138
Houston Texans,2014,193,1619,94,834
Houston Texans,2015,223,1901,107,910
Houston Texans,2016,201,1817,87,868
Houston Texans,2017,246,2179,124,1051
Houston Texans,2018,222,1732,105,787
Houston Texans,2019,220,1751,111,892
Houston Texans,2020,156,1297,80,619
Houston Texans,2021,194,1661,110,913
Houston Texans,2022,174,1370,81,607
Indianapolis Colts,2009,166,1435,74,546
Indianapolis Colts,2010,174,1521,79,709
Indianapolis Colts,2011,160,1353,76,549
Indianapolis Colts,2012,222,2009,95,816
Indianapolis Colts,2013,178,1566,66,576
Indianapolis Colts,2014,206,1716,105,850
Indianapolis Colts,2015,241,2099,108,931
Indianapolis Colts,2016,228,2038,103,883
Indianapolis Colts,2017,194,1601,92,779
Indianapolis Colts,2018,251,2068,120,953
Indianapolis Colts,2019,190,1710,79,670
Indianapolis Colts,2020,180,1650,94,895
Indianapolis Colts,2021,175,1565,72,636
Indianapolis Colts,2022,169,1468,87,784
Jacksonville Jaguars,2009,133,1035,69,537
Jacksonville Jaguars,2010,168,1423,83,675
Jacksonville Jaguars,2011,182,1575,77,680
Jacksonville Jaguars,2012,202,1768,100,940
Jacksonville Jaguars,2013,183,1526,96,797
Jacksonville Jaguars,2014,188,1459,73,573
Jacksonville Jaguars,2015,219,1869,105,880
Jacksonville Jaguars,2016,229,2135,128,1187
Jacksonville Jaguars,2017,224,1987,112,936
Jacksonville Jaguars,2018,213,1847,121,1112
Jacksonville Jaguars,2019,234,2052,132,1169
Jacksonville Jaguars,2020,185,1781,107,1071
Jacksonville Jaguars,2021,198,1647,98,807
Jacksonville Jaguars,2022,170,1293,86,649
Kansas City Chiefs,2009,190,1492,84,667
Kansas City Chiefs,2010,201,1693,90,771
Kansas City Chiefs,2011,218,1748,110,916
Kansas City Chiefs,2012,173,1403,91,733
Kansas City Chiefs,2013,213,1626,101,774
Kansas City Chiefs,2014,195,1532,88,681
Kansas City Chiefs,2015,214,1819,104,878
Kansas City Chiefs,2016,218,1645,109,848
Kansas City Chiefs,2017,225,1908,118,1044
Kansas City Chiefs,2018,244,2034,138,1163
Kansas City Chiefs,2019,223,1873,107,1029
Kansas City Chiefs,2020,202,1679,105,919
Kansas City Chiefs,2021,216,1746,106,880
Kansas City Chiefs,2022,174,1482,82,795
Los Angeles Chargers,2017,217,1923,108,927
Los Angeles Chargers,2018,216,1795,113,967
Los Angeles Chargers,2019,211,1831,103,872
Los Angeles Chargers,2020,179,1579,85,710
Los Angeles Chargers,2021,201,1722,106,925
Los Angeles Chargers,2022,153,1327,76,601
Los Angeles Rams,2016,234,2011,126,1091
Los Angeles Rams,2017,209,1730,107,922
Los Angeles Rams,2018,195,1730,95,868
Los Angeles Rams,2019,223,1724,118,900
Los Angeles Rams,2020,149,1237,71,655
Los Angeles Rams,2021,155,1254,73,622
Los Angeles Rams,2022,151,1291,73,620
Las Vegas Raiders,2020,193,1772,98,857
Las Vegas Raiders,2021,209,1979,120,1066
Las Vegas Raiders,2022,195,1600,107,885
Miami Dolphins,2009,151,1229,78,640
Miami Dolphins,2010,156,1320,72,595
Miami Dolphins,2011,197,1754,85,779
Miami Dolphins,2012,204,1784,88,770
Miami Dolphins,2013,160,1312,69,593
Miami Dolphins,2014,186,1555,81,635
Miami Dolphins,2015,255,2095,134,1090
Miami Dolphins,2016,234,2061,125,1142
Miami Dolphins,2017,259,2231,137,1154
Miami Dolphins,2018,215,1834,108,978
Miami Dolphins,2019,203,1853,92,769
Miami Dolphins,2020,159,1440,74,635
Miami Dolphins,2021,201,1705,100,792
Miami Dolphins,2022,184,1579,106,834
Minnesota Vikings,2009,210,1659,101,757
Minnesota Vikings,2010,197,1555,99,769
Minnesota Vikings,2011,205,1737,108,903
Minnesota Vikings,2012,201,1772,90,823
Minnesota Vikings,2013,170,1698,70,695
Minnesota Vikings,2014,212,1774,100,836
Minnesota Vikings,2015,197,1672,88,797
Minnesota Vikings,2016,202,1707,103,882
Minnesota Vikings,2017,205,1877,100,949
Minnesota Vikings,2018,198,1613,92,779
Minnesota Vikings,2019,179,1622,96,909
Minnesota Vikings,2020,165,1373,82,650
Minnesota Vikings,2021,198,1772,107,996
Minnesota Vikings,2022,189,1554,80,648
New York Giants,2009,183,1480,95,802
New York Giants,2010,199,1676,92,777
New York Giants,2011,205,1751,94,794
New York Giants,2012,174,1478,72,578
New York Giants,2013,196,1690,91,786
New York Giants,2014,206,1843,101,895
New York Giants,2015,222,1854,102,777
New York Giants,2016,192,1710,88,857
New York Giants,2017,206,1818,91,895
New York Giants,2018,224,1870,114,951
New York Giants,2019,207,1719,90,784
New York Giants,2020,169,1325,81,644
New York Giants,2021,189,1438,85,653
New York Giants,2022,205,1551,98,761
New York Jets,2009,175,1357,88,677
New York Jets,2010,177,1613,103,934
New York Jets,2011,212,1815,102,849
New York Jets,2012,192,1512,83,708
New York Jets,2013,200,1670,108,837
New York Jets,2014,200,1713,109,932
New York Jets,2015,186,1554,96,787
New York Jets,2016,167,1488,93,837
New York Jets,2017,233,2016,119,1035
New York Jets,2018,209,1765,114,948
New York Jets,2019,222,2007,115,1105
New York Jets,2020,200,1852,101,952
New York Jets,2021,178,1619,98,845
New York Jets,2022,170,1472,85,812
New England Patriots,2009,172,1523,81,743
New England Patriots,2010,166,1448,82,761
New England Patriots,2011,202,1722,88,825
New England Patriots,2012,199,1786,97,839
New England Patriots,2013,179,1576,69,625
New England Patriots,2014,212,1829,120,1075
New England Patriots,2015,208,1873,96,860
New England Patriots,2016,206,1749,93,819
New England Patriots,2017,206,1870,95,835
New England Patriots,2018,184,1582,93,744
New England Patriots,2019,201,1748,94,828
New England Patriots,2020,144,1173,62,534
New England Patriots,2021,182,1574,87,776
New England Patriots,2022,189,1500,102,821
New Orleans Saints,2009,175,1504,89,787
New Orleans Saints,2010,176,1580,88,879
New Orleans Saints,2011,208,1763,99,851
New Orleans Saints,2012,202,1716,100,876
New Orleans Saints,2013,186,1567,95,817
New Orleans Saints,2014,185,1559,80,670
New Orleans Saints,2015,244,1999,130,1112
New Orleans Saints,2016,197,1728,100,910
New Orleans Saints,2017,213,1817,105,967
New Orleans Saints,2018,179,1753,94,939
New Orleans Saints,2019,212,1749,120,1036
New Orleans Saints,2020,162,1522,98,1005
New Orleans Saints,2021,178,1486,94,771
New Orleans Saints,2022,187,1604,97,826
Las Vegas Raiders,2009,204,1609,117,920
Las Vegas Raiders,2010,265,2440,148,1279
Las Vegas Raiders,2011,283,2340,163,1358
Las Vegas Raiders,2012,206,1829,109,939
Las Vegas Raiders,2013,203,1598,116,912
Las Vegas Raiders,2014,232,1881,116,940
Las Vegas Raiders,2015,242,2045,138,1102
Las Vegas Raiders,2016,262,2309,147,1247
Las Vegas Raiders,2017,216,1953,114,1009
Las Vegas Raiders,2018,227,1956,110,965
Las Vegas Raiders,2019,219,1901,128,1138
Philadelphia Eagles,2009,219,1741,115,952
Philadelphia Eagles,2010,216,1825,129,1101
Philadelphia Eagles,2011,204,1666,107,853
Philadelphia Eagles,2012,216,1810,98,818
Philadelphia Eagles,2013,201,1706,95,851
Philadelphia Eagles,2014,236,2083,115,995
Philadelphia Eagles,2015,227,1868,104,819
Philadelphia Eagles,2016,212,1782,113,945
Philadelphia Eagles,2017,217,1879,116,962
Philadelphia Eagles,2018,215,1848,100,852
Philadelphia Eagles,2019,215,1795,100,836
Philadelphia Eagles,2020,219,1889,107,853
Philadelphia Eagles,2021,191,1592,104,812
Philadelphia Eagles,2022,173,1388,86,652
Pittsburgh Steelers,2009,187,1676,85,773
Pittsburgh Steelers,2010,187,1624,100,903
Pittsburgh Steelers,2011,197,1624,100,839
Pittsburgh Steelers,2012,192,1820,92,938
Pittsburgh Steelers,2013,167,1443,76,648
Pittsburgh Steelers,2014,200,1669,103,834
Pittsburgh Steelers,2015,215,2067,94,868
Pittsburgh Steelers,2016,221,1988,112,1068
Pittsburgh Steelers,2017,211,1938,101,897
Pittsburgh Steelers,2018,247,2196,111,1026
Pittsburgh Steelers,2019,226,2005,111,887
Pittsburgh Steelers,2020,184,1671,81,691
Pittsburgh Steelers,2021,222,1800,100,788
Pittsburgh Steelers,2022,177,1343,90,691
Los Angeles Chargers,2009,181,1365,78,570
Los Angeles Chargers,2010,181,1446,84,677
Los Angeles Chargers,2011,183,1513,91,753
Los Angeles Chargers,2012,205,1594,103,796
Los Angeles Chargers,2013,195,1620,95,765
Los Angeles Chargers,2014,240,2026,111,967
Los Angeles Chargers,2015,236,1918,117,942
Los Angeles Chargers,2016,225,1617,107,780
San Francisco 49ers,2009,212,1727,98,758
San Francisco 49ers,2010,209,1773,112,934
San Francisco 49ers,2011,211,1881,113,1014
San Francisco 49ers,2012,201,1713,109,960
San Francisco 49ers,2013,199,1723,103,845
San Francisco 49ers,2014,238,1848,116,939
San Francisco 49ers,2015,225,1743,113,823
San Francisco 49ers,2016,192,1611,99,831
San Francisco 49ers,2017,220,1780,123,988
San Francisco 49ers,2018,229,1993,113,987
San Francisco 49ers,2019,221,1896,105,939
San Francisco 49ers,2020,164,1440,85,731
San Francisco 49ers,2021,187,1788,96,1010
San Francisco 49ers,2022,181,1502,92,720
Seattle Seahawks,2009,207,1811,95,840
Seattle Seahawks,2010,192,1599,101,890
Seattle Seahawks,2011,233,1949,136,1027
Seattle Seahawks,2012,212,1792,110,890
Seattle Seahawks,2013,226,2072,128,1193
Seattle Seahawks,2014,200,1625,130,1012
Seattle Seahawks,2015,211,1807,117,1007
Seattle Seahawks,2016,220,1895,117,970
Seattle Seahawks,2017,250,2220,148,1342
Seattle Seahawks,2018,219,1940,110,954
Seattle Seahawks,2019,206,1680,109,882
Seattle Seahawks,2020,178,1465,84,662
Seattle Seahawks,2021,183,1646,93,773
Seattle Seahawks,2022,197,1617,102,834
Los Angeles Rams,2009,179,1442,100,834
Los Angeles Rams,2010,228,1885,102,877
Los Angeles Rams,2011,223,1858,112,907
Los Angeles Rams,2012,219,1731,129,973
Los Angeles Rams,2013,228,1987,123,1009
Los Angeles Rams,2014,228,2024,123,1139
Los Angeles Rams,2015,231,2049,122,1057
Tampa Bay Buccaneers,2009,172,1422,92,691
Tampa Bay Buccaneers,2010,179,1513,100,837
Tampa Bay Buccaneers,2011,218,1793,123,1007
Tampa Bay Buccaneers,2012,204,1671,101,820
Tampa Bay Buccaneers,2013,226,2148,121,1136
Tampa Bay Buccaneers,2014,224,1874,118,939
Tampa Bay Buccaneers,2015,247,2057,143,1195
Tampa Bay Buccaneers,2016,216,1865,102,863
Tampa Bay Buccaneers,2017,213,1732,104,795
Tampa Bay Buccaneers,2018,244,2131,117,975
Tampa Bay Buccaneers,2019,245,2086,134,1111
Tampa Bay Buccaneers,2020,179,1730,84,715
Tampa Bay Buccaneers,2021,173,1489,95,864
Tampa Bay Buccaneers,2022,191,1608,96,763
Tennessee Titans,2009,192,1545,98,821
Tennessee Titans,2010,242,2079,128,1040
Tennessee Titans,2011,203,1772,105,975
Tennessee Titans,2012,192,1564,106,847
Tennessee Titans,2013,196,1679,101,900
Tennessee Titans,2014,204,1697,111,966
Tennessee Titans,2015,205,1761,93,779
Tennessee Titans,2016,247,2203,110,1012
Tennessee Titans,2017,204,1727,85,785
Tennessee Titans,2018,202,1711,82,727
Tennessee Titans,2019,224,1957,99,932
Tennessee Titans,2020,189,1623,86,783
Tennessee Titans,2021,212,1936,98,931
Tennessee Titans,2022,216,1728,105,917
Washington Commanders,2009,183,1442,85,679
Washington Commanders,2010,194,1496,90,647
Washington Commanders,2011,213,1898,89,882
Washington Commanders,2012,216,1801,116,985
Washington Commanders,2013,182,1499,99,802
Washington Commanders,2014,264,2293,120,1129
Washington Commanders,2015,217,1784,105,829
Washington Commanders,2016,210,1932,110,909
Washington Commanders,2017,192,1620,92,733
Washington Commanders,2018,217,1799,115,1008
Washington Commanders,2019,200,1640,106,835
Washington Commanders,2020,172,1405,87,697
Washington Commanders,2021,172,1496,79,714
Washington Commanders,2022,169,1429,90,796
