Feature,Importance
Year,0.0028237080777346645
Accepted_Penalty_Count,0.006602820269331117
Penalty_Yards,0.006800720521807283
Team_Penalty_Count,0.005983950756992194
Team_Penalty_Yards,0.0062188765127354495
points,0.007089413202504093
points_opp,0.011205972150728055
points_diff,0.8087004360529271
g,8.333472414858871e-05
total_yards,0.003407491674100023
plays_offense,0.010843491018769509
yds_per_play_offense,0.001029263462249018
turnovers,0.006676963822783968
fumbles_lost,0.003551779683566097
first_down,0.0042578246251393365
pass_cmp,0.003783318020909508
pass_att,0.005200653685426513
pass_yds,0.0019475021421529383
pass_td,0.003497441897299769
pass_int,0.0025247576014782633
pass_net_yds_per_att,0.00213180792704098
pass_fd,0.0024706023718895267
rush_att,0.009836191827395311
rush_yds,0.0055496392350075805
rush_td,0.0029884994024986324
rush_yds_per_att,0.0038190264320603286
rush_fd,0.00555644523926015
score_pct,0.010442443035533698
turnover_pct,0.011849245195366578
exp_pts_tot,0.005009243210841194
Superbowl Champion,0.0022608519310626457
Pass_yds_per_att,0.005896511940390138
Rush_yds_per_att,0.008971447870914634
total_tds,0.005575475717711658
total_fds,0.002148139936376223
Team_Atlanta Falcons,0.00014455559338611416
Team_Baltimore Ravens,0.0
Team_Buffalo Bills,0.00015788036338395525
Team_Carolina Panthers,0.00016953923003732913
Team_Chicago Bears,0.0
Team_Cincinnati Bengals,0.000658634052446132
Team_Cleveland Browns,0.0007572534269333428
Team_Dallas Cowboys,0.0002803604853549953
Team_Denver Broncos,0.0009290186685354741
Team_Detroit Lions,0.0016151921350071818
Team_Green Bay Packers,0.0004080861121864347
Team_Houston Texans,0.00022029899093108552
Team_Indianapolis Colts,0.0018163226767390864
Team_Jacksonville Jaguars,0.0005924666963665773
Team_Kansas City Chiefs,0.0
Team_Las Vegas Raiders,2.1968863594722274e-05
Team_Los Angeles Chargers,0.002021933280576695
Team_Los Angeles Rams,0.0
Team_Miami Dolphins,0.0005352362981230766
Team_Minnesota Vikings,0.0001831639280413755
Team_New England Patriots,0.0
Team_New Orleans Saints,5.9978216926966564e-05
Team_New York Giants,0.0005146757709508206
Team_New York Jets,0.0
Team_Philadelphia Eagles,8.236725539076362e-06
Team_Pittsburgh Steelers,0.0007800637275521609
Team_San Francisco 49ers,0.0
Team_Seattle Seahawks,0.0
Team_Tampa Bay Buccaneers,0.0011074788670215215
Team_Tennessee Titans,0.00014523398630804499
Team_Washington Commanders,0.000137130727925375
